City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,59.7,54,0,10.4,clear sky
80,Saskylakh,RU,71.9167,114.0833,43.74,77,62,16.58,broken clouds
81,Cape Town,ZA,-33.9258,18.4232,75.38,38,57,3.0,broken clouds
82,Kabansk,RU,52.0486,106.6528,47.57,93,100,6.02,overcast clouds
83,Butaritari,KI,3.0707,172.7902,81.9,77,97,11.92,light rain
84,La Ronge,CA,55.1001,-105.2842,61.05,55,75,10.36,broken clouds
85,Currais Novos,BR,-6.2608,-36.5178,84.6,57,36,15.46,scattered clouds
86,Georgetown,MY,5.4112,100.3354,82.33,78,20,0.0,light rain
87,Cefalu,IT,38.0386,14.0229,74.53,72,12,10.0,few clouds
88,Guerrero Negro,MX,27.9769,-114.0611,65.28,83,0,7.09,clear sky
89,Pisco,PE,-13.7,-76.2167,64.45,72,1,1.14,haze
90,Lagoa,PT,39.05,-27.9833,60.31,87,100,11.65,light rain
91,Cherskiy,RU,68.75,161.3,57.94,51,50,8.95,scattered clouds
92,Mpika,ZM,-11.8343,31.4529,67.12,46,14,8.79,few clouds
93,Victoria,HK,22.2855,114.1577,82.45,91,100,4.0,overcast clouds
94,Talnakh,RU,69.4865,88.3972,60.21,40,32,10.11,scattered clouds
95,Turbat,PK,26.0023,63.044,92.55,50,0,17.38,clear sky
96,Hami,CN,42.8,93.45,81.99,9,57,17.09,broken clouds
97,Cienfuegos,CU,22.1461,-80.4356,84.34,65,20,2.3,few clouds
98,Koumac,NC,-20.5667,164.2833,72.66,88,100,8.77,overcast clouds
99,Kapaa,US,22.0752,-159.319,71.92,95,20,13.8,few clouds
100,Port Elizabeth,ZA,-33.918,25.5701,67.32,71,0,1.99,clear sky
101,Port Lincoln,AU,-34.7333,135.8667,54.81,74,80,7.7,broken clouds
102,Paamiut,GL,61.994,-49.6678,39.43,79,100,10.11,overcast clouds
103,Norsup,VU,-16.0667,167.3833,78.76,81,100,5.77,overcast clouds
104,High Prairie,CA,55.4334,-116.4858,52.0,97,100,1.63,moderate rain
105,Ambulu,ID,-8.345,113.6058,77.36,88,100,3.4,light rain
106,Port Alfred,ZA,-33.5906,26.891,66.18,75,0,4.0,clear sky
107,Sabang,ID,5.8933,95.3214,80.56,79,100,18.79,overcast clouds
108,Ust-Karsk,RU,52.7011,118.8077,59.76,76,39,2.51,scattered clouds
109,Provideniya,RU,64.3833,-173.3,45.55,55,100,6.2,overcast clouds
110,Mahibadhoo,MV,3.7833,72.9667,82.58,74,99,8.79,overcast clouds
111,Necochea,AR,-38.5473,-58.7368,48.04,62,99,23.13,overcast clouds
112,Mehamn,NO,71.0357,27.8492,46.31,89,100,24.38,overcast clouds
113,Beringovskiy,RU,63.05,179.3167,37.08,71,5,5.26,clear sky
114,Kodiak,US,57.79,-152.4072,47.71,81,100,4.61,overcast clouds
115,Anloga,GH,5.7947,0.8973,82.24,74,100,16.13,overcast clouds
116,Kaeo,NZ,-35.1,173.7833,59.32,92,64,14.88,broken clouds
117,Katobu,ID,-4.9408,122.5276,75.45,94,12,5.93,few clouds
118,Tuatapere,NZ,-46.1333,167.6833,37.99,93,70,6.64,broken clouds
119,Coquimbo,CL,-29.9533,-71.3436,49.73,100,100,5.75,fog
120,San Nicolas,PH,18.1725,120.5953,82.45,81,100,5.28,overcast clouds
121,Camacha,PT,33.0833,-16.3333,69.22,73,75,23.02,broken clouds
