City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
468,Gushikawa,JP,80.6,broken clouds,26.3544,127.8686,Kirari Guest House
470,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
474,Uige,AO,88.74,scattered clouds,-7.6087,15.0613,Hotel Catraio
475,Hobyo,SO,82.18,broken clouds,5.3505,48.5268,Iftin hotel hobyo
476,Buenaventura,CO,80.98,scattered clouds,3.8801,-77.0312,Hotel Victoria
477,Zhicheng,CN,78.76,overcast clouds,30.2956,111.5047,Wangjiang Building
479,Cape Canaveral,US,87.08,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
482,Aksu,CN,87.17,few clouds,41.1231,80.2644,Pudong Holiday Hotel
487,Pedra,BR,79.99,scattered clouds,-8.4969,-36.9408,Pousada Oceanus
488,Salalah,OM,87.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
490,Davila,PH,83.35,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
491,Muli,MV,83.62,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
492,Manokwari,ID,79.14,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
493,Havelock,US,76.98,overcast clouds,34.8791,-76.9013,Sherwood Motel
495,Belmopan,BZ,80.98,overcast clouds,17.25,-88.7667,Villa San Juan
502,Gazanjyk,TM,88.52,broken clouds,39.2446,55.5154,Railway motel
503,Paungde,MM,81.1,overcast clouds,18.4833,95.5,Shwe Eain Matt highly cool guest house
504,Georgiyevka,KZ,80.64,scattered clouds,43.0369,74.7114,Gostinitsa Imperiya
506,Ushtobe,KZ,80.28,light rain,45.2514,77.9838,Filipin Squad
508,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
509,Cao Bang,VN,76.3,moderate rain,22.6667,106.25,khách sạn 88
510,Sao Jose Da Coroa Grande,BR,79.41,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
519,Lethem,GY,83.68,broken clouds,3.3803,-59.7968,Savannah Inn
520,Key West,US,89.6,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
522,Auki,SB,75.81,scattered clouds,-8.7676,160.7034,Auki Motel
523,Sola,VU,80.62,scattered clouds,-13.8833,167.55,Leumerus Bungalows
525,Kroya,ID,78.31,light rain,-7.6331,109.2461,Devina kost & Homestay Kroya
526,Malanje,AO,79.93,clear sky,-9.5402,16.341,Hotel Ginga
532,Bandarbeyla,SO,79.57,clear sky,9.4942,50.8122,JABIR HOTEL
533,Kloulklubed,PW,77.5,moderate rain,7.0419,134.2556,Storyboard Beach Resort
538,Tigzirt,DZ,76.42,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
539,Beyneu,KZ,82.0,overcast clouds,45.3167,55.2,NUR
540,Barra Dos Coqueiros,BR,82.42,few clouds,-10.9089,-37.0386,Quality Hotel Aracaju
542,Carauari,BR,84.7,light rain,-4.8828,-66.8958,Hotel Fellip
543,Luwuk,ID,77.54,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
544,Houma,US,86.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
546,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
549,Castro-Urdiales,ES,83.48,broken clouds,43.3829,-3.2204,Hotel Las Rocas Playa
558,Ormara,PK,83.03,clear sky,25.2088,64.6357,Kenara Colony House for Rent
563,Maragogi,BR,79.48,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
564,Muros,ES,77.09,clear sky,42.7762,-9.0603,Apartment Av. Castelao
567,Bone,DE,78.82,scattered clouds,51.9669,12.1396,Sporthotel Wallwitz
571,Porto Velho,BR,78.85,few clouds,-8.7619,-63.9039,Ecos Hotel Conforto
574,Urucara,BR,88.09,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
575,Faanui,PF,79.36,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
577,Bhuj,IN,84.72,clear sky,23.2667,69.6667,Regenta Resort Bhuj
579,Camopi,GF,78.85,light rain,3.1655,-52.3158,La pousada
581,Nurota,UZ,88.57,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
582,Half Moon Bay,US,75.88,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
583,Balabac,PH,80.82,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
585,Bac Lieu,VN,82.13,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
588,Cumpas,MX,85.48,few clouds,29.9833,-109.7833,Hotel La Palma
589,Vung Tau,VN,84.09,overcast clouds,10.346,107.0843,Seaside Resort
592,Harper,LR,82.18,overcast clouds,4.375,-7.7169,Screensaver
594,Alcochete,PT,89.53,clear sky,38.7553,-8.9609,Alcochete 2 Rooms Terrace
601,Grand-Santi,GF,84.54,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
602,Mangit,UZ,89.1,broken clouds,40.5971,70.9607,Dangara Hotel
606,Phetchabun,TH,75.99,overcast clouds,16.25,101.0833,วินธนา รีสอร์ท
609,Nanakuli,US,75.15,clear sky,21.3906,-158.1547,Camp Pālehua
612,Bull Savanna,JM,82.08,overcast clouds,17.8868,-77.5902,Big Red's
615,Axim,GH,81.73,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
616,Alindao,CF,82.24,broken clouds,5.0267,21.2088,OCHA Alindao
621,Bartica,GY,80.92,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
627,Saurimo,AO,78.22,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
628,Dhidhdhoo,MV,82.9,overcast clouds,6.8833,73.1,Dhidhoo beach
629,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
633,Tual,ID,82.81,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
634,Amahai,ID,79.02,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
635,Arawa,PG,76.12,scattered clouds,-6.2132,155.5367,Coastline Guest House
637,Tagusao,PH,80.64,few clouds,9.1924,117.8141,Green Villa beach resort
638,Kashi,CN,85.21,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
640,La Romana,DO,86.36,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
642,Islamkot,PK,86.31,clear sky,24.6997,70.177,Haji Hotel
644,Hamilton,US,75.88,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
646,Karachi,PK,87.62,haze,24.9056,67.0822,Sadaat
648,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
650,Chiang Klang,TH,75.42,overcast clouds,19.2938,100.8617,Sangthong Resort
653,Inirida,CO,82.45,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
661,Yuncheng,CN,75.16,clear sky,35.0231,110.9928,晋州快捷酒店
664,Saint-Francois,FR,79.68,clear sky,46.4154,3.9054,Manoir Du Bonheur
665,Carinhanha,BR,89.6,clear sky,-14.3047,-43.765,Hotel União
666,Belmonte,BR,79.34,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
667,Port Moresby,PG,78.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
670,Bastia,FR,83.53,clear sky,42.6667,9.3333,Hotel Santa Maria
676,Mindelo,CV,80.15,few clouds,16.8901,-24.9804,Hotel Gaudi
684,Lufilufi,WS,81.21,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
689,Corinto,GR,85.89,clear sky,37.9407,22.9573,Ephira Hotel
690,Kendari,ID,75.79,scattered clouds,-3.945,122.4989,Hotel Wixel
