City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Atuona,PF,2022-06-06 19:52:22,-9.8,-139.0333,78.08,74,12,14.32
68,Rodrigues Alves,BR,2022-06-06 19:52:23,-7.738,-72.6509,86.2,77,96,2.28
69,Hilo,US,2022-06-06 19:48:55,19.7297,-155.09,91.27,68,20,7.0
70,Grand Gaube,MU,2022-06-06 19:52:23,-20.0064,57.6608,72.0,76,3,3.0
71,Port Hardy,CA,2022-06-06 19:52:23,50.6996,-127.4199,53.78,82,100,13.8
72,Rio Verde De Mato Grosso,BR,2022-06-06 19:48:52,-18.9181,-54.8442,89.49,26,97,7.58
73,Coquimbo,CL,2022-06-06 19:48:16,-29.9533,-71.3436,60.53,67,0,12.66
74,Asfi,MA,2022-06-06 19:52:24,32.2994,-9.2372,70.0,76,0,20.85
75,Carnarvon,AU,2022-06-06 19:52:24,-24.8667,113.6333,69.69,54,0,5.19
76,Talnakh,RU,2022-06-06 19:52:24,69.4865,88.3972,34.21,63,78,6.76
77,Marsa Matruh,EG,2022-06-06 19:52:25,31.3525,27.2453,75.4,88,0,6.91
78,East London,ZA,2022-06-06 19:50:08,-33.0153,27.9116,66.24,41,0,5.95
79,Victoria,HK,2022-06-06 19:47:46,22.2855,114.1577,84.33,89,100,11.01
80,Isla Vista,US,2022-06-06 19:52:25,34.4133,-119.861,87.35,61,20,8.05
81,Maceio,BR,2022-06-06 19:52:25,-9.6658,-35.7353,78.24,73,75,11.5
82,Viedma,AR,2022-06-06 19:52:26,-40.8135,-62.9967,63.16,39,61,14.2
83,Puerto Del Rosario,ES,2022-06-06 19:52:26,28.5004,-13.8627,71.35,73,20,19.57
84,Esperance,AU,2022-06-06 19:52:26,-33.8667,121.9,56.12,61,100,3.87
85,Lompoc,US,2022-06-06 19:52:27,34.6391,-120.4579,82.69,75,20,17.27
86,Sankeshwar,IN,2022-06-06 19:52:27,16.2667,74.4833,74.75,85,100,4.9
87,Hovd,MN,2022-06-06 19:52:27,48.0056,91.6419,50.63,42,96,2.1
88,Provideniya,RU,2022-06-06 19:52:28,64.3833,-173.3,46.83,58,61,1.03
89,Sokoni,TZ,2022-06-06 19:52:28,-6.4333,39.55,80.46,73,67,17.9
90,Floresta,BR,2022-06-06 19:52:28,-8.6011,-38.5686,76.55,62,79,18.68
91,Henties Bay,NA,2022-06-06 19:52:29,-22.116,14.2845,71.51,39,0,9.01
92,Laguna,US,2022-06-06 19:53:29,38.421,-121.4238,84.76,38,0,3.0
93,Tasiilaq,GL,2022-06-06 19:53:29,65.6145,-37.6368,37.08,64,100,2.98
94,Namatanai,PG,2022-06-06 19:53:29,-3.6667,152.4333,78.62,83,34,6.87
95,Harper,LR,2022-06-06 19:53:30,4.375,-7.7169,75.99,91,100,9.62
96,Canutama,BR,2022-06-06 19:53:30,-6.5339,-64.3831,79.79,81,94,3.65
97,Apache Junction,US,2022-06-06 19:53:30,33.4151,-111.5496,101.62,15,0,6.91
98,Sabang,ID,2022-06-06 19:53:31,5.8933,95.3214,82.65,76,99,13.87
99,Smithers,CA,2022-06-06 19:53:31,54.7804,-127.1743,55.72,67,40,2.3
100,Barrow,US,2022-06-06 19:53:31,71.2906,-156.7887,31.42,82,14,16.35
101,Hiriyur,IN,2022-06-06 19:53:32,13.9456,76.6192,74.08,86,91,6.91
102,Auki,SB,2022-06-06 19:53:32,-8.7676,160.7034,76.46,87,9,3.76
103,Nipawin,CA,2022-06-06 19:53:32,53.3668,-104.0009,64.44,32,0,6.91
104,Lata,PT,2022-06-06 19:53:33,40.1629,-8.3327,64.47,91,93,4.09
105,Lagoa,PT,2022-06-06 19:50:09,39.05,-27.9833,64.8,94,61,20.8
106,Georgetown,MY,2022-06-06 19:53:33,5.4112,100.3354,78.73,99,40,5.99
107,Palmer,US,2022-06-06 19:53:33,42.1584,-72.3287,83.21,33,40,4.61
108,Saint-Philippe,RE,2022-06-06 19:53:33,-21.3585,55.7679,71.19,78,52,7.94
109,Vikulovo,RU,2022-06-06 19:53:34,56.8167,70.6107,47.71,89,74,3.71
110,Sobolevo,RU,2022-06-06 19:53:34,54.4299,31.8996,58.21,79,95,5.48
111,Partenit,UA,2022-06-06 19:53:34,44.578,34.3446,66.49,83,100,10.29
112,Galveston,US,2022-06-06 19:48:46,29.3669,-94.9669,92.03,69,20,20.71
113,Beira,MZ,2022-06-06 19:53:35,-19.8436,34.8389,71.69,78,75,18.41
114,Sao Felix Do Xingu,BR,2022-06-06 19:53:35,-6.6447,-51.995,82.44,64,44,2.77
115,Mokhsogollokh,RU,2022-06-06 19:53:36,61.4681,128.9203,62.2,72,100,3.38
116,Iqaluit,CA,2022-06-06 19:53:36,63.7506,-68.5145,49.73,61,40,18.41
117,Avarua,CK,2022-06-06 19:53:36,-21.2078,-159.775,78.85,83,75,11.5
118,Alcazar De San Juan,ES,2022-06-06 19:53:37,39.3901,-3.2083,76.17,22,45,10.27
119,Aklavik,CA,2022-06-06 19:53:37,68.2191,-135.0107,46.92,51,34,7.23
120,San Cristobal,VE,2022-06-06 19:53:37,7.7669,-72.225,80.78,47,35,7.09
121,Mahibadhoo,MV,2022-06-06 19:53:37,3.7833,72.9667,81.99,76,98,9.64
122,Tucuman,AR,2022-06-06 19:53:38,-26.8241,-65.2226,68.0,49,20,4.61
123,Saldanha,ZA,2022-06-06 19:53:38,-33.0117,17.9442,62.65,39,56,8.46
124,Puerto Escondido,MX,2022-06-06 19:53:38,15.85,-97.0667,86.27,64,75,10.69
125,Arlit,NE,2022-06-06 19:53:39,18.7369,7.3853,89.33,26,100,8.16
126,Krasnoselkup,RU,2022-06-06 19:53:39,65.7,82.4667,35.78,53,98,5.14
127,Longyearbyen,SJ,2022-06-06 19:53:39,78.2186,15.6401,44.44,65,75,14.97
128,Rio Muerto,MX,2022-06-06 19:53:40,27.4167,-110.2333,94.12,33,5,17.11
129,Paracuru,BR,2022-06-06 19:53:40,-3.41,-39.0306,84.11,80,43,10.11
130,Ust-Maya,RU,2022-06-06 19:53:40,60.4167,134.5333,61.97,68,19,2.13
131,Shimoda,JP,2022-06-06 19:53:40,34.6667,138.95,61.11,85,100,9.15
132,Eyl,SO,2022-06-06 19:53:41,7.9803,49.8164,79.66,79,90,15.7
133,Mahebourg,MU,2022-06-06 19:53:41,-20.4081,57.7,71.89,83,20,1.14
134,Sao Joao Da Barra,BR,2022-06-06 19:53:41,-21.6403,-41.0511,78.89,66,26,14.45
135,Entre Rios,BR,2022-06-06 19:53:42,-11.9419,-38.0844,71.65,81,28,6.17
136,Sargatskoye,RU,2022-06-06 19:53:42,55.6101,73.4972,49.42,75,50,2.39
137,Porto Belo,BR,2022-06-06 19:54:42,-27.1578,-48.5531,69.69,95,100,6.11
138,Singkang,MY,2022-06-06 19:54:43,2.1006,102.7994,74.98,93,39,1.14
139,Bambous Virieux,MU,2022-06-06 19:54:43,-20.3428,57.7575,71.85,83,20,1.14
140,Thayetmyo,MM,2022-06-06 19:54:43,19.3167,95.1833,78.67,85,100,8.55
141,Araouane,ML,2022-06-06 19:54:43,18.9048,-3.5265,97.3,12,0,10.6
142,Bani Walid,LY,2022-06-06 19:54:44,31.7566,13.9942,84.52,24,0,8.72
143,Saskylakh,RU,2022-06-06 19:54:44,71.9167,114.0833,36.48,76,8,4.7
144,Shahrud,IR,2022-06-06 19:54:44,36.4182,54.9763,78.33,25,94,3.89
145,Bredasdorp,ZA,2022-06-06 19:54:45,-34.5322,20.0403,59.76,39,7,3.06
146,Upernavik,GL,2022-06-06 19:54:45,72.7868,-56.1549,32.32,79,1,12.17
147,Denpasar,ID,2022-06-06 19:54:45,-8.65,115.2167,78.46,89,20,3.44
148,Leningradskiy,RU,2022-06-06 19:54:46,69.3833,178.4167,33.58,85,100,9.04
149,Naze,JP,2022-06-06 19:54:46,28.3667,129.4833,67.12,81,77,4.85
150,Ampanihy,MG,2022-06-06 19:54:46,-24.7,44.75,65.34,83,48,14.79
151,Fort Nelson,CA,2022-06-06 19:54:46,58.8053,-122.7002,62.19,72,75,2.3
152,Bolkhov,RU,2022-06-06 19:54:47,53.4433,36.0044,59.83,71,100,6.31
153,Dwarka,IN,2022-06-06 19:54:47,22.2394,68.9678,82.71,84,9,14.25
154,Fort Smith,US,2022-06-06 19:54:47,35.3859,-94.3986,88.38,58,77,5.99
155,Arman,RU,2022-06-06 19:54:48,59.7,150.1667,52.02,81,100,7.0
156,Demyansk,RU,2022-06-06 19:54:48,57.643,32.466,48.79,71,3,2.95
157,Tiarei,PF,2022-06-06 19:54:48,-17.5333,-149.3333,80.62,71,32,19.08
158,Talcahuano,CL,2022-06-06 19:54:49,-36.7167,-73.1167,53.28,94,100,9.22
159,Khasan,RU,2022-06-06 19:54:49,42.4308,130.6434,50.47,85,100,3.27
160,Yulara,AU,2022-06-06 19:54:49,-25.2406,130.9889,46.99,61,49,9.89
161,Vao,NC,2022-06-06 19:54:50,-22.6667,167.4833,72.91,74,83,7.27
162,Caborca,MX,2022-06-06 19:54:50,30.5838,-111.101,96.04,10,0,11.54
163,Hambantota,LK,2022-06-06 19:54:50,6.1241,81.1185,77.88,87,69,14.54
164,Mahdasht,IR,2022-06-06 19:54:50,35.7299,50.8111,88.02,19,75,6.91
165,Samana,DO,2022-06-06 19:54:51,19.2056,-69.3369,93.42,70,40,9.22
166,Mehamn,NO,2022-06-06 19:50:23,71.0357,27.8492,48.15,57,0,4.61
167,Tuatapere,NZ,2022-06-06 19:54:51,-46.1333,167.6833,46.96,80,100,6.33
168,Butaritari,KI,2022-06-06 19:54:51,3.0707,172.7902,80.55,79,6,13.13
169,Saint-Francois,FR,2022-06-06 19:54:52,46.4154,3.9054,62.04,88,0,5.75
170,Cherskiy,RU,2022-06-06 19:54:52,68.75,161.3,39.15,55,31,10.31
171,Cordoba,AR,2022-06-06 19:54:52,-31.4135,-64.1811,70.65,35,0,5.75
172,Ust-Ishim,RU,2022-06-06 19:54:53,57.6935,71.1665,45.45,78,50,5.35
173,Merrill,US,2022-06-06 19:54:53,45.1805,-89.6835,71.82,62,40,4.61
174,Onverwacht,SR,2022-06-06 19:54:53,5.5833,-55.1833,82.4,83,20,9.22
